Dữ liệu,QuickSort,HeapSort,MergeSort,sort (C++),sort (numpy)
1,1686.38,11155.01,4109.01,45.2,18.04
2,2726.25,7688.38,3840.71,350.33,9.51
3,2730.5,7731.6,3858.27,361.51,10.01
4,2794.47,7684.48,3942.94,350.04,18.73
5,2943.71,8047.79,4042.67,360.02,9.05
6,2923.66,8375.63,4446.24,53.69,2.17
7,3589.94,23283.42,17982.36,648.42,9.79
8,11208.18,25785.21,4545.66,210.61,2.59
9,3252.09,8559.88,4652.42,208.25,2.41
10,3304.39,8718.53,4515.86,216.7,2.35
Trung bình,3715.957,11702.992999999999,5593.614,280.477,8.465
